Date,Close,High,Low,Open,Volume,MACD,RSI,Pct_Change,MA_5,STD_5,MACD_RSI_Ratio,Change_Pct,Volatility,Sentiment_Score,sentiment_label,Is_News_Day,score_Day
2019-01-16,237.464,238.365,237.119,237.328,77636700,0.7572158023266695,74.22813961856782,0.24188339784965152,235.9522,1.2713715821897615,0.010201196018352796,0.05730465853165058,0.5493092632267103,0.0,0.0,0.0,0.0
2019-01-17,239.266,240.139,236.536,236.582,96118400,1.1805606880298853,74.30396096440872,0.7588518680726297,236.69459999999998,1.906073267217072,0.015888260500612733,1.134490366976354,1.8496589550509066,0.0,0.0,0.0,0.0
2019-01-18,242.451,242.924,239.302,241.104,127900300,1.7528615450562768,77.66942954656264,1.3311544473514791,238.0558,3.053793329614717,0.02256822993666305,0.5586800716703083,1.623597522992283,0.0,0.0,0.0,0.0
2019-01-22,239.175,241.177,237.537,240.958,115531200,1.919936443922495,68.35900954281794,-1.3512008612049375,239.04940000000002,2.1682802632499247,0.028086077559680074,-0.7399629811004353,1.7046734535779315,0.0,0.0,0.0,0.0
2019-01-23,239.675,240.931,237.173,240.221,86030300,2.0688420035023114,68.61738323538512,0.2090519494094334,239.6062,1.8019649552638466,0.030150406587283494,-0.22729070314418484,1.6343353389069244,0.0,0.0,0.0,0.0
2019-01-24,239.803,240.394,238.465,239.493,59204100,2.1721401826203817,82.55753718641307,0.053405653489102534,240.07399999999998,1.3549756455371926,0.026310622344701703,0.12944010889671193,0.8075297208152777,0.0,0.0,0.0,0.0
2019-01-25,241.832,242.669,239.903,241.677,96883400,2.390175620019221,78.18804367943736,0.8461111829293211,240.5872,1.4547048497887096,0.030569579535954197,0.06413518870227665,1.1628818727626704,0.0,0.0,0.0,0.0
2019-01-28,239.994,240.058,238.201,239.657,85613700,2.3871415539354643,69.72133647580758,-0.7600317575837789,240.0958,1.016787932658004,0.03423832179068702,0.1406176327000626,0.8689888760316041,0.0,0.0,0.0,0.0
2019-01-29,239.675,240.713,238.829,240.139,66136300,2.3321132508335154,65.26815953091045,-0.1329199896664024,240.19580000000002,0.9239359826302427,0.035731254988568294,-0.1932214259241517,0.7960050251097615,0.0,0.0,0.0,0.0
2019-01-30,243.47,244.325,240.44,241.213,92473700,2.5651581614991414,69.44320910788939,1.583394179618236,240.95479999999998,1.6570590514519088,0.03693893462662162,0.935687545861958,1.834422524938023,0.0,0.0,0.0,0.0
