Date,Close,High,Low,Open,Volume,MACD,RSI
17/06/2019,264.456,265.233,264.282,264.593,39205700,0.9,69.451
18/06/2019,267.225,268.294,265.937,266.302,85434800,1.249,78.431
19/06/2019,267.828,268.368,266.375,267.362,78674400,1.557,78.344
20/06/2019,270.387,270.799,267.892,270.552,116570000,1.984,93.275
21/06/2019,269.994,271.39,269.774,270.114,83309500,2.265,94.345
24/06/2019,269.664,270.527,269.507,270.205,47582700,2.432,90.561
25/06/2019,267.019,269.746,266.909,269.719,82028700,2.325,75.058
26/06/2019,266.752,268.442,266.642,267.928,51584900,2.193,71.033
27/06/2019,267.698,268.213,267.138,267.524,40355200,2.14,67.534
28/06/2019,269.076,269.581,268.167,268.69,59350900,2.185,67.934
01/07/2019,271.519,272.676,270.297,272.455,78705600,2.389,73.012
02/07/2019,272.226,272.281,270.619,271.473,61504500,2.579,76.227
03/07/2019,274.402,274.421,272.768,272.915,40898900,2.871,77.697
05/07/2019,274.09,274.255,271.84,273.153,51677300,3.043,77.61
08/07/2019,272.584,273.906,272.033,272.758,45841800,3.023,71.351
09/07/2019,272.924,273.227,271.353,271.408,41101300,2.999,67.159
10/07/2019,274.228,275.192,273.466,274.007,58448500,3.051,68.489
11/07/2019,274.871,275.119,273.851,274.88,50826100,3.108,64.566
12/07/2019,276.101,276.175,275.054,275.367,40326000,3.215,68.817
15/07/2019,276.193,276.542,275.679,276.542,33900000,3.27,70.419
16/07/2019,275.302,276.312,274.99,276.101,36650100,3.205,79.097
17/07/2019,273.429,275.44,273.429,275.275,36036300,2.968,71.072
18/07/2019,274.43,274.815,272.474,272.924,51392600,2.828,71.173
19/07/2019,272.905,275.569,272.731,275.541,58678600,2.564,61.935
22/07/2019,273.576,274.127,272.786,273.309,43638100,2.382,57.207
23/07/2019,275.532,275.532,273.87,274.714,44564500,2.368,60.651
24/07/2019,276.827,276.827,274.669,274.76,47213200,2.434,58.281
25/07/2019,275.504,276.423,274.687,276.368,55394100,2.352,54.519
26/07/2019,277.35,277.552,276.074,276.202,45084100,2.408,64.905
29/07/2019,276.845,277.35,276.285,277.231,38126500,2.385,62.138
30/07/2019,276.165,276.579,275.036,275.422,45849000,2.285,56.239
31/07/2019,273.144,276.606,271.096,276.413,104245200,1.939,45.179
01/08/2019,270.766,276.303,269.958,273.3,142646600,1.457,36
02/08/2019,268.727,270.104,267.147,269.856,116749700,0.9,32.225
05/08/2019,260.645,264.677,258.717,264.567,178745400,-0.192,24.006
06/08/2019,264.3,264.521,261.068,262.565,120711700,-0.753,34.773
07/08/2019,264.457,265.237,259.011,261.178,140572300,-1.172,32.881
08/08/2019,269.645,269.645,265.412,265.972,87713900,-1.073,45.029
09/08/2019,267.809,269.296,265.999,268.69,93730000,-1.129,41.509
12/08/2019,264.548,267.799,263.584,266.284,65527600,-1.421,34.427
13/08/2019,268.663,270.132,263.896,264.245,94299800,-1.305,39.282
14/08/2019,260.719,265.164,260.59,264.548,135622100,-1.833,33.463
15/08/2019,261.408,262.317,259.332,261.619,99556600,-2.171,31.696
16/08/2019,265.265,265.706,261.463,263.088,83018300,-2.103,37.654
19/08/2019,268.461,269.149,267.643,268.332,53571800,-1.771,42.204
20/08/2019,266.403,268.488,266.275,267.946,51596400,-1.655,43.044
21/08/2019,268.571,268.947,267.9,268.598,49524700,-1.372,47.725
22/08/2019,268.488,269.93,266.688,269.287,51666400,-1.141,49.742
23/08/2019,261.591,268.855,260.324,267.166,149161500,-1.498,51.049
26/08/2019,264.484,264.484,262.262,263.814,72423800,-1.529,50.207
27/08/2019,263.446,266.275,262.675,265.898,66668900,-1.619,48.883
28/08/2019,265.301,265.467,261.959,262.776,59696700,-1.523,44.815
29/08/2019,268.69,269.223,266.881,267.9,57899400,-1.161,51.015
30/08/2019,268.571,270.215,267.625,270.196,62901200,-0.873,54.991
03/09/2019,267,267.772,265.65,266.844,69101400,-0.762,47.799
04/09/2019,270.031,270.049,268.442,269.204,46887300,-0.425,64.178
05/09/2019,273.502,274.43,269.994,272.556,83258100,0.12,66.976
06/09/2019,273.714,274.366,273.135,273.824,49584300,0.563,63.211
09/09/2019,273.851,274.806,272.896,274.715,51260300,0.915,59.321
10/09/2019,273.787,273.851,271.803,273.08,57947100,1.175,63.711
11/09/2019,275.734,275.816,273.438,274.099,68821100,1.52,63.411
12/09/2019,276.689,277.763,275.881,276.652,72908700,1.85,64.869
13/09/2019,276.505,277.497,276.129,277.139,62104800,2.073,85.739
16/09/2019,275.651,276.551,274.999,275.357,58191200,2.155,79.658
17/09/2019,276.349,276.441,275.275,275.449,41475500,2.251,84.898
18/09/2019,276.515,276.625,273.888,275.954,73375800,2.314,83.379
19/09/2019,276.496,277.92,276.156,276.909,76560500,2.335,79.069
20/09/2019,275.19,277.395,274.387,277.109,89565000,2.221,72.647
23/09/2019,275.125,275.854,274.258,274.516,43476800,2.101,80.992
24/09/2019,272.966,276.629,271.988,276.232,94869400,1.811,61.995
25/09/2019,274.581,275.033,271.545,273.049,71854000,1.691,55.196
26/09/2019,274.009,274.802,272.579,274.59,56179700,1.533,51.375
27/09/2019,272.533,274.885,270.955,274.775,84746600,1.274,44.541
30/09/2019,273.797,274.516,273.012,273.059,51662400,1.157,50.036
01/10/2019,270.54,275.356,270.318,274.691,88242400,0.793,32.198
02/10/2019,265.761,268.944,264.451,268.935,122539500,0.117,20.323
03/10/2019,267.938,267.966,262.772,265.53,85278800,-0.24,29.008
04/10/2019,271.564,271.822,268.547,268.602,65091200,-0.228,41.182
07/10/2019,270.392,272.404,270.106,270.752,59610500,-0.309,37.407
08/10/2019,266.194,269.257,266.158,268.51,95708100,-0.704,31.36
09/10/2019,268.722,269.673,267.606,268.243,62359400,-0.804,37.126
10/10/2019,270.54,271.435,268.473,268.639,55296300,-0.728,42.428
11/10/2019,273.345,275.614,273.215,273.335,98720400,-0.437,47.338
14/10/2019,273.04,273.704,272.69,273.022,40394800,-0.228,50.117
15/10/2019,275.743,276.5,273.981,274.101,46754500,0.154,51.779
16/10/2019,275.3,276.002,274.858,275.273,48928200,0.417,51.984
17/10/2019,276.112,276.998,275.411,276.481,45736600,0.682,55.614
18/10/2019,274.904,276.223,274.036,275.568,64304000,0.786,51.739
21/10/2019,276.767,276.97,275.799,276.241,39048600,1.007,60.23
22/10/2019,275.863,277.607,275.771,277.312,48594700,1.096,69.017
23/10/2019,276.666,276.721,275.393,275.605,34352200,1.218,67.326
24/10/2019,277.118,277.764,276.278,277.616,35453100,1.336,62.615
25/10/2019,278.253,278.806,276.481,276.537,45205400,1.503,67.884
28/10/2019,279.821,280.329,279.461,279.489,42147000,1.742,85.217
29/10/2019,279.738,280.679,279.415,279.544,44284900,1.903,82.587
30/10/2019,280.596,280.974,278.613,279.941,49643900,2.076,81.539
31/10/2019,279.849,280.587,278.373,280.587,69053800,2.128,73.421
01/11/2019,282.441,282.487,281.15,281.316,71141500,2.351,79.064
04/11/2019,283.576,284.157,283.198,284.019,60606900,2.59,76.815
05/11/2019,283.262,284.083,282.967,283.779,42933200,2.723,77.501
06/11/2019,283.327,283.604,282.367,283.262,46487100,2.801,76.276
07/11/2019,284.323,285.68,283.844,284.683,54272300,2.909,84.846
08/11/2019,285.025,285.08,283.262,283.973,49032100,3.017,83.42
11/11/2019,284.48,284.655,283.484,283.622,35797300,3.024,85.923
12/11/2019,285.08,285.993,284.296,284.849,46484600,3.043,85.68
13/11/2019,285.172,285.578,283.844,284.074,53917700,3.03,85.229
14/11/2019,285.587,285.67,284.24,284.886,51219900,3.018,84.237
15/11/2019,287.654,287.7,286.242,286.943,62023600,3.14,84.938
18/11/2019,287.866,288.106,286.953,287.414,49228000,3.216,85.842
19/11/2019,287.783,288.484,287.128,288.475,67804700,3.233,84.017
20/11/2019,286.713,287.709,285.135,287.183,79406200,3.124,81.526
21/11/2019,286.252,286.934,285.44,286.824,54664700,2.966,71.76
22/11/2019,286.888,287.146,285.864,287.008,44850200,2.859,70.056
25/11/2019,289.112,289.112,287.829,287.829,48647200,2.92,78.766
26/11/2019,289.767,289.951,288.826,289.148,37569000,2.987,79.931
27/11/2019,291.058,291.058,290.034,290.256,44444600,3.108,80.468
29/11/2019,289.979,290.735,289.748,290.486,36592700,3.082,71.67
02/12/2019,287.516,290.302,287.082,290.237,75767800,2.83,61.369
03/12/2019,285.587,285.67,283.355,284.757,73941700,2.446,51.728
04/12/2019,287.349,287.958,286.298,286.648,49080000,2.258,56.659
05/12/2019,287.866,288.078,286.538,288.06,40709000,2.126,56.926
06/12/2019,290.495,290.901,289.794,289.804,48927000,2.208,58.351
09/12/2019,289.582,290.781,289.508,290.099,34838500,2.175,54.844
10/12/2019,289.259,290.2,288.595,289.527,52649800,2.098,54.111
11/12/2019,290.08,290.339,289.176,289.72,53429100,2.079,59.51
12/12/2019,292.58,293.374,289.85,290.089,96389600,2.24,66.028
13/12/2019,292.756,294.001,291.556,292.341,81503900,2.355,65.215
16/12/2019,294.767,295.367,292.691,294.509,82749700,2.579,64.828
17/12/2019,294.832,295.459,294.749,295.154,61097700,2.73,63.704
18/12/2019,294.85,295.459,294.795,295.228,48133000,2.818,61.019
19/12/2019,296.059,296.133,294.786,295.044,85310500,2.952,67.536
20/12/2019,297.357,298.506,296.114,297.106,147142100,3.126,80.43
23/12/2019,297.811,298.21,297.663,298.154,52990000,3.264,91.588
24/12/2019,297.82,298.089,297.514,298.043,20270000,3.335,90.449
26/12/2019,299.406,299.415,298.2,298.21,30911200,3.479,91.177
27/12/2019,299.331,300.203,298.794,300.147,42528800,3.547,88.562
30/12/2019,297.681,299.554,297.19,299.415,49729100,3.428,83.21
31/12/2019,298.404,298.655,296.819,297.171,57077300,3.353,86.308
02/01/2020,301.195,301.214,299.025,299.962,59151200,3.479,88.16
03/01/2020,298.914,300.055,297.7,297.755,77709700,3.356,72.078
06/01/2020,300.055,300.138,297.014,297.134,55653900,3.312,73.838
07/01/2020,299.211,299.962,298.757,299.48,40496400,3.173,65.712
08/01/2020,300.806,302.039,299.155,299.406,68296000,3.155,69.06
09/01/2020,302.845,302.919,301.798,302.391,48473300,3.267,72.595
10/01/2020,301.974,303.596,301.501,303.439,53029300,3.249,67.041
13/01/2020,304.051,304.06,302.168,302.604,47086800,3.363,68.456
14/01/2020,303.587,304.672,303.021,303.605,62832800,3.377,65.917
15/01/2020,304.273,305.042,303.411,303.494,72056600,3.404,67.143
16/01/2020,306.804,306.804,305.441,305.673,54050300,3.589,68.715
17/01/2020,307.759,307.972,306.739,307.527,95846000,3.769,70.409
21/01/2020,307.156,307.972,306.711,306.785,77742400,3.819,74.172
22/01/2020,307.193,308.686,307.036,308.028,48914900,3.817,73.235
23/01/2020,307.546,307.963,305.404,306.535,51963000,3.801,69.274
24/01/2020,304.811,308.297,303.503,308.213,87578400,3.526,67.415
27/01/2020,299.925,301.427,299.146,299.489,84062500,2.881,49.686
28/01/2020,303.068,303.958,300.017,301.371,63834000,2.594,58.394
29/01/2020,302.817,304.681,302.613,304.449,53888900,2.319,54.65
30/01/2020,303.8,304.013,299.962,300.722,75491800,2.156,52.321
31/01/2020,298.284,303.327,297.357,303.17,113845600,1.563,42.684
03/02/2020,300.5,302.391,299.665,299.786,69083000,1.258,42.998
04/02/2020,305.08,305.96,303.837,304.162,62573200,1.37,52.532
05/02/2020,308.603,308.816,306.572,308.056,65951100,1.723,56.7
06/02/2020,309.641,309.836,308.547,309.576,50359700,2.063,54.603
07/02/2020,307.991,309.65,307.434,308.566,64139400,2.174,50.368
10/02/2020,310.29,310.355,307.054,307.091,42070000,2.419,54.718
11/02/2020,310.828,312.459,310.29,311.662,54864500,2.627,55.391
12/02/2020,312.83,313.044,311.912,312.283,43992700,2.92,57.472
13/02/2020,312.497,313.479,311.106,311.384,54501900,3.089,61.659
14/02/2020,312.997,313.118,311.699,312.914,64582200,3.227,72.875
18/02/2020,312.191,313.062,310.781,311.987,57226200,3.233,67.385
19/02/2020,313.683,314.369,312.886,313.173,48814700,3.32,69.77
20/02/2020,312.395,313.961,309.363,313.127,74163400,3.248,65.465
21/02/2020,309.177,311.338,308.343,311.022,113788200,2.898,71.371
24/02/2020,298.923,309.252,297.829,299.591,161088400,1.773,47.649
25/02/2020,289.866,300.954,288.975,300.333,218913200,0.148,29.983
26/02/2020,288.799,294.928,288.058,291.284,194773800,-1.211,22.144
27/02/2020,275.829,288.855,275.829,283.199,284353500,-3.297,14.392
28/02/2020,274.67,276.181,264.731,267.661,384975800,-4.987,14.542
02/03/2020,286.565,286.63,273.001,276.478,238703600,-5.304,29.035
03/03/2020,278.36,290.969,275.884,286.945,300139100,-6.147,24.733
04/03/2020,290.06,290.283,281.225,283.811,176613400,-5.804,34.604
05/03/2020,280.418,285.99,278.147,282.754,186366800,-6.239,30.735
06/03/2020,275.782,277.006,269.079,271.787,228667200,-6.878,28.708
09/03/2020,254.245,263.48,253.522,255.237,309417300,-9.018,23.203
10/03/2020,267.401,267.494,253.569,263.897,276444100,-9.543,30.681
11/03/2020,254.366,261.393,251.139,260.244,255316300,-10.885,27.941
12/03/2020,230.029,247.227,229.63,237.344,392220700,-13.754,24.075
13/03/2020,249.693,251.696,230.409,243.917,329566100,-14.276,34.811
16/03/2020,222.371,238.178,220.062,223.604,297240000,-16.702,31.285
17/03/2020,234.377,237.501,219.793,227.183,262070500,-17.455,35.773
18/03/2020,222.51,230.27,211.403,219.033,327597100,-18.792,35.981
19/03/2020,222.983,229.352,215.297,221.814,289322000,-19.588,36.36
20/03/2020,213.373,227.987,213.094,226.178,347158800,-20.755,30.45
23/03/2020,207.918,214.194,203.544,212.805,326025200,-21.868,30.904
24/03/2020,226.756,227.642,218.036,218.615,235494500,-20.988,33.478
25/03/2020,230.15,239.066,223.585,228.36,299430300,-19.789,36.438
26/03/2020,243.589,245.081,232.258,232.696,257632800,-17.552,41.708
27/03/2020,236.333,243.225,234.123,236.194,224341200,-16.178,45.02
30/03/2020,244.009,244.736,236.436,238.46,171369500,-14.304,43.292
31/03/2020,240.372,245.575,238.945,242.992,194881100,-12.964,45.759
01/04/2020,229.554,240.288,227.455,231.26,189554600,-12.629,49.843
02/04/2020,234.851,235.643,228.099,228.658,177660400,-11.8,44.586
03/04/2020,231.456,236.24,228.686,233.853,135561200,-11.287,54.014
06/04/2020,247.002,248.998,231.437,240.455,188061200,-9.516,55.409
07/04/2020,247.254,256.486,247.03,255.722,201427200,-8,61.774
08/04/2020,255.554,257.391,247.366,249.893,153774500,-6.059,64.423
09/04/2020,259.443,262.24,256.897,258.865,189999200,-4.159,71.489
13/04/2020,257.074,258.799,253.11,258.454,114839100,-2.812,73.609
14/04/2020,264.656,265.691,256.934,262.035,134143400,-1.12,70.41
15/04/2020,259.032,264.796,256.887,258.855,121775000,-0.23,65.189
16/04/2020,260.282,261.149,257.167,260.329,131798300,0.569,60.07
17/04/2020,267.314,267.929,263.36,266.139,146684800,1.75,68.739
20/04/2020,262.604,267.454,262.38,263.555,100109300,2.28,61.666
21/04/2020,254.631,259.293,253.679,258.072,126385700,2.033,58.484
22/04/2020,260.282,262.054,258.24,259.583,92951600,2.267,69.481
23/04/2020,260.263,264.796,259.956,261.578,104709700,2.423,67.266
24/04/2020,263.891,264.572,259.722,261.802,85063200,2.807,71.968
